,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,games_played,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,points_per_game,pp90,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,vapm,web_name,yellow_cards
0,0,0,0,0,0,0,,,0,0,-2,2,0.0,587,236,,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0,0.0,589,237,0,0.0,588,237,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20T22:30:18.118477Z,68,0,0,,0,,0.0,0.0,0,0,Özil,0.7,0,,n,1,3,0,588,236,0,3264,55,47258,3038,0.0,0.0,0.0,Özil,0
1,0,0,0,0,0,0,,,0,0,-1,1,0.0,520,203,,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0,0.0,534,203,0,0.0,530,203,0,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21T10:30:18.546407Z,49,0,0,,0,,0.0,0.0,0,0,Papastathopoulos,0.1,0,,n,1,3,0,506,194,0,10195,18,17729,598,0.0,0.0,0.0,Sokratis,0
2,0,0,51,50,100,0,,,0,0,0,0,9.8,281,87,4,,0,2,0.8,1.7,1,David,1.7,5,5,0,9.7,227,77,0,66.6,161,64,319,Thigh injury - 50% chance of playing,2020-10-25T21:30:13.186040Z,55,0,0,,0,,1.4,1.974921630094044,0,0,Luiz Moreira Marinho,1.0,0,,d,1,3,21,209,59,7,29500,2291,57672,10247,0.3,1.3,-0.10909090909090911,David Luiz,0
3,1,0,73,100,100,1,,,-1,1,-3,3,103.1,41,31,6,,0,3,2.0,2.0,2,Pierre-Emerick,2.0,6,7,1,31.4,50,27,0,93.4,101,37,540,,2020-10-08T09:00:12.305506Z,117,0,0,1,0,,3.3,3.333333333333333,0,0,Aubameyang,14.0,0,,a,1,3,117,41,22,20,354384,5952,2509284,178237,0.2,1.7,0.11396011396011398,Aubameyang,1
4,0,0,0,100,100,0,,,-1,1,-3,3,0.0,495,196,,,0,2,0.0,0.0,0,Cédric,0.0,0,0,0,0.0,512,196,0,0.0,508,196,0,,2020-09-23T09:00:14.881983Z,47,0,0,,0,,0.0,0.0,0,0,Soares,0.2,0,,a,1,3,0,472,185,0,2566,200,29736,937,0.0,0.0,0.0,Cédric,0
5,0,3,79,,,1,,,-1,1,-1,1,51.2,115,16,5,,0,4,0.7,0.7,1,Alexandre,0.7,5,4,3,34.6,40,16,0,114.4,67,13,346,,,84,0,0,3,0,,4.6,5.982658959537572,0,0,Lacazette,3.5,0,,a,1,3,180,23,15,23,242564,3196,324279,38513,0.1,2.7,0.3095238095238095,Lacazette,1
6,0,0,9,100,100,0,,,0,0,0,0,1.0,342,125,,,0,2,0.3,0.3,1,Shkodran,0.3,1,1,0,0.9,373,135,0,7.6,345,131,41,,2020-08-15T10:00:11.331812Z,50,0,0,,0,,1.0,2.1951219512195124,0,0,Mustafi,0.0,0,,a,1,3,0,532,204,1,10235,252,10361,83,0.1,0.2,-0.2,Mustafi,0
7,0,2,111,,,1,,,0,0,0,0,0.0,543,56,,,0,1,2.3,2.3,2,Bernd,2.3,6,7,0,12.3,185,9,0,122.6,52,9,540,,,50,0,0,,0,,3.2,3.166666666666667,0,15,Leno,9.1,0,,a,1,3,0,534,55,19,331830,6301,301098,37347,0.5,3.8,0.2333333333333333,Leno,0
8,0,0,47,,,1,,,0,0,-1,1,33.8,161,98,2,,0,3,1.3,1.3,1,Granit,1.3,6,6,0,11.4,194,92,0,51.8,204,80,407,,,54,0,0,,0,,1.7,2.211302211302211,0,0,Xhaka,0.6,0,,a,1,3,29,181,96,10,20604,740,45595,3266,0.2,1.9,-0.06172839506172838,Xhaka,1
9,0,0,0,0,0,0,,,0,0,-1,1,0.0,431,175,,,0,2,0.0,0.0,0,Pablo,0.0,0,0,0,0.0,454,176,0,0.0,449,176,0,Ankle injury - Expected back 21 Nov,2020-08-15T10:00:11.357231Z,44,0,0,,0,,0.0,0.0,0,0,Marí,0.0,0,,i,1,3,0,399,159,0,254,18,646,50,0.0,0.0,0.0,Marí,0
10,2,3,104,,,1,,,0,0,0,0,66.9,88,17,,,0,2,4.7,4.7,1,Héctor,4.7,6,7,0,19.6,104,24,0,95.2,98,32,540,,,50,0,0,,0,,3.5,3.5,0,0,Bellerín,5.8,0,,a,1,3,33,167,43,21,279789,19638,213959,25520,0.9,4.2,0.3,Bellerín,3
11,0,0,0,25,25,0,,,0,0,0,0,0.0,470,190,,,0,2,0.0,0.0,0,Calum,0.0,0,0,0,0.0,488,190,0,0.0,484,190,0,Lack of match fitness - 25% chance of playing,2020-08-15T10:00:11.386295Z,45,0,0,,0,,0.0,0.0,0,0,Chambers,0.0,0,,d,1,3,0,442,177,0,308,25,824,61,0.0,0.0,0.0,Chambers,0
12,0,0,9,,,0,,,0,0,-2,2,5.4,290,91,,,0,2,0.0,0.0,0,Sead,0.0,1,1,0,1.3,367,133,0,3.6,366,137,90,,,48,0,0,,0,,2.0,2.0,0,0,Kolasinac,0.2,0,,a,1,3,4,300,101,2,4324,218,14414,1020,0.0,0.4,0.0,Kolasinac,0
13,0,0,33,,,1,,,-1,1,-2,2,4.3,299,97,,,0,2,0.3,0.3,0,Ainsley,0.3,3,3,0,3.2,326,116,0,20.2,296,120,183,,,48,0,0,,0,,2.7,3.9344262295081966,0,0,Maitland-Niles,1.2,0,,a,1,3,7,272,86,8,45055,877,104962,9816,0.1,1.7,0.13888888888888887,Maitland-Niles,0
14,0,0,58,0,0,1,,,0,0,0,0,1.6,326,115,,,0,2,0.0,0.0,0,Rob,0.0,3,4,0,6.8,270,93,0,66.2,164,67,270,Hamstring injury - Expected back 21 Nov,2020-10-17T22:30:19.025474Z,45,0,0,,0,,3.0,3.0,0,0,Holding,1.3,0,,i,1,3,0,449,179,9,158936,52,182072,30153,0.0,2.0,0.2222222222222222,Holding,0
15,0,0,77,100,100,1,,,0,0,-1,1,57.8,103,23,,,0,2,2.0,2.0,2,Kieran,2.0,5,6,0,15.2,144,40,0,75.0,144,55,440,,2020-10-14T10:30:19.613747Z,54,0,0,,0,,2.6,2.659090909090909,0,0,Tierney,5.3,0,,a,1,3,19,214,64,13,94762,5773,501877,17365,0.4,2.4,0.11111111111111112,Tierney,0
16,0,0,35,,,0,2,,0,0,-3,3,21.4,211,123,3,,0,3,3.0,3.0,1,Nicolas,3.0,6,4,1,12.1,189,91,0,38.8,239,96,202,,,77,0,0,2,0,,2.0,5.346534653465346,0,0,Pépé,0.9,0,,a,1,3,61,94,52,12,18345,2252,113693,5477,0.4,1.6,0.0,Pépé,0
17,0,0,0,0,0,0,,,-1,1,-3,3,0.0,497,201,,,0,3,0.0,0.0,0,Lucas,0.0,0,0,0,0.0,514,201,0,0.0,510,201,0,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T22:30:19.674811Z,47,0,0,,0,,0.0,0.0,0,0,Torreira,0.1,0,,n,1,3,0,474,189,0,3236,15,15368,788,0.0,0.0,0.0,Torreira,0
18,0,0,0,,,0,,,0,0,-2,2,0.0,515,210,,,0,3,0.0,0.0,0,Joseph,0.0,0,0,0,0.0,529,210,0,0.0,525,210,0,,,48,0,0,,0,,0.0,0.0,0,0,Willock,0.1,0,,a,1,3,0,499,203,0,1969,226,5958,388,0.0,0.0,0.0,Willock,0
19,0,0,0,100,100,0,5,,0,0,-3,3,0.0,553,223,,,0,3,0.0,0.0,0,Reiss,0.0,0,0,0,0.0,562,223,0,0.0,558,223,0,,2020-10-05T10:00:15.059375Z,52,0,0,,0,,0.0,0.0,0,0,Nelson,0.1,0,,a,1,3,0,549,220,0,872,109,4478,173,0.0,0.0,0.0,Nelson,0
20,0,3,43,,,0,,,0,0,-3,3,4.2,300,44,,,0,4,1.0,1.0,1,Edward,1.0,6,1,1,8.5,246,35,0,40.6,231,25,106,,,57,0,0,,0,,2.2,11.037735849056604,0,0,Nketiah,0.7,0,,a,1,3,42,141,34,13,28906,1052,110589,6596,0.2,2.3,0.02923976608187132,Nketiah,0
21,0,0,0,100,100,0,,,0,0,-1,1,0.0,446,180,,,0,3,0.0,0.0,0,Emile,0.0,0,0,0,0.0,468,180,0,0.0,463,180,0,,2020-09-11T11:00:08.673059Z,44,0,0,,0,,0.0,0.0,0,0,Smith Rowe,0.2,0,,a,1,3,0,415,166,0,10940,1583,13692,1378,0.0,0.0,0.0,Smith Rowe,0
